Område;Bebyggelsetyp;År;Åldersgrupp;Summa
0 - Hela staden;nybyggnation;2033;13-15 år;1846,604269
0 - Hela staden;nybyggnation;2033;16-18 år;1597,150732
0 - Hela staden;nybyggnation;2033;19-24 år;6081,364862
0 - Hela staden;nybyggnation;2033;25-44 år;39237,34062
0 - Hela staden;nybyggnation;2033;45-64 år;11930,33678
0 - Hela staden;nybyggnation;2033;65-79 år;4764,977831
0 - Hela staden;nybyggnation;2033;80-w;2017,865835
0 - Hela staden;nybyggnation;2034;0 år;2282,824619
0 - Hela staden;nybyggnation;2034;1-5 år;9743,911787
0 - Hela staden;nybyggnation;2034;6-9 år;4957,908555
0 - Hela staden;nybyggnation;2034;10-12 år;2711,576249
0 - Hela staden;nybyggnation;2034;13-15 år;2174,146671
0 - Hela staden;nybyggnation;2034;16-18 år;1854,137313
0 - Hela staden;nybyggnation;2034;19-24 år;6737,383896
0 - Hela staden;nybyggnation;2034;25-44 år;44508,65545
0 - Hela staden;nybyggnation;2034;45-64 år;13973,6959
0 - Hela staden;nybyggnation;2034;65-79 år;5500,71433
0 - Hela staden;nybyggnation;2034;80-w;2288,561407
0 - Hela staden;Totalt;2024;0 år;11209
0 - Hela staden;Totalt;2024;1-5 år;52191
0 - Hela staden;Totalt;2024;6-9 år;40410
0 - Hela staden;Totalt;2024;10-12 år;31440
0 - Hela staden;Totalt;2024;13-15 år;32088
0 - Hela staden;Totalt;2024;16-18 år;31309
0 - Hela staden;Totalt;2024;19-24 år;63758
0 - Hela staden;Totalt;2024;25-44 år;327750
0 - Hela staden;Totalt;2024;45-64 år;242540
0 - Hela staden;Totalt;2024;65-79 år;120056
0 - Hela staden;Totalt;2024;80-w;42823
0 - Hela staden;Totalt;2025;0 år;10993,19623
0 - Hela staden;Totalt;2025;1-5 år;51169,25054
0 - Hela staden;Totalt;2025;6-9 år;39882,19842
0 - Hela staden;Totalt;2025;10-12 år;31040,26596
0 - Hela staden;Totalt;2025;13-15 år;31830,00826
0 - Hela staden;Totalt;2025;16-18 år;31811,86528
0 - Hela staden;Totalt;2025;19-24 år;64995,34332
0 - Hela staden;Totalt;2025;25-44 år;327310,9869
0 - Hela staden;Totalt;2025;45-64 år;245745,0446
0 - Hela staden;Totalt;2025;65-79 år;121251,207
0 - Hela staden;Totalt;2025;80-w;45737,96863
0 - Hela staden;Totalt;2026;0 år;10959,829
0 - Hela staden;Totalt;2026;1-5 år;50170,98665
0 - Hela staden;Totalt;2026;6-9 år;38838,96015
0 - Hela staden;Totalt;2026;10-12 år;30757,46356
0 - Hela staden;Totalt;2026;13-15 år;31328,14528
0 - Hela staden;Totalt;2026;16-18 år;32477,0628
0 - Hela staden;Totalt;2026;19-24 år;66603,66827
0 - Hela staden;Totalt;2026;25-44 år;326749,7191
0 - Hela staden;Totalt;2026;45-64 år;248107,0605
0 - Hela staden;Totalt;2026;65-79 år;122500,6813
0 - Hela staden;Totalt;2026;80-w;48458,06534
0 - Hela staden;Totalt;2027;0 år;10938,2931
0 - Hela staden;Totalt;2027;1-5 år;48897,7597
0 - Hela staden;Totalt;2027;6-9 år;38710,18575
0 - Hela staden;Totalt;2027;10-12 år;29971,24028
0 - Hela staden;Totalt;2027;13-15 år;31242,14986
0 - Hela staden;Totalt;2027;16-18 år;32414,86574
0 - Hela staden;Totalt;2027;19-24 år;67995,92922
0 - Hela staden;Totalt;2027;25-44 år;326894,9018
0 - Hela staden;Totalt;2027;45-64 år;250013,5842
0 - Hela staden;Totalt;2027;65-79 år;124144,6737
0 - Hela staden;Totalt;2027;80-w;51116,99323
0 - Hela staden;Totalt;2028;0 år;10931,20416
0 - Hela staden;Totalt;2028;1-5 år;48642,77532
0 - Hela staden;Totalt;2028;6-9 år;38045,18421
0 - Hela staden;Totalt;2028;10-12 år;29333,91819
0 - Hela staden;Totalt;2028;13-15 år;30862,34834
0 - Hela staden;Totalt;2028;16-18 år;32147,13151
0 - Hela staden;Totalt;2028;19-24 år;69397,57178
0 - Hela staden;Totalt;2028;25-44 år;327459,9676
0 - Hela staden;Totalt;2028;45-64 år;251575,7557
0 - Hela staden;Totalt;2028;65-79 år;126298,0093
0 - Hela staden;Totalt;2028;80-w;53447,67297
0 - Hela staden;Totalt;2029;0 år;11120,90446
0 - Hela staden;Totalt;2029;1-5 år;48520,92056
0 - Hela staden;Totalt;2029;6-9 år;37235,14644
0 - Hela staden;Totalt;2029;10-12 år;28600,22053
0 - Hela staden;Totalt;2029;13-15 år;30635,84861
0 - Hela staden;Totalt;2029;16-18 år;31694,89742
0 - Hela staden;Totalt;2029;19-24 år;70811,80252
0 - Hela staden;Totalt;2029;25-44 år;328553,8732
0 - Hela staden;Totalt;2029;45-64 år;252404,9999
0 - Hela staden;Totalt;2029;65-79 år;129499,9193
0 - Hela staden;Totalt;2029;80-w;55509,83183
0 - Hela staden;Totalt;2030;0 år;11316,12962
0 - Hela staden;Totalt;2030;1-5 år;48603,99419
0 - Hela staden;Totalt;2030;6-9 år;36574,90368
0 - Hela staden;Totalt;2030;10-12 år;28216,48981
0 - Hela staden;Totalt;2030;13-15 år;29942,94162
0 - Hela staden;Totalt;2030;16-18 år;31659,20267
0 - Hela staden;Totalt;2030;19-24 år;71609,66163
0 - Hela staden;Totalt;2030;25-44 år;329554,5674
0 - Hela staden;Totalt;2030;45-64 år;253735,0667
0 - Hela staden;Totalt;2030;65-79 år;132413,5875
0 - Hela staden;Totalt;2030;80-w;57407,24592
0 - Hela staden;Totalt;2031;0 år;11527,75892
0 - Hela staden;Totalt;2031;1-5 år;48960,2261
0 - Hela staden;Totalt;2031;6-9 år;35535,83023
0 - Hela staden;Totalt;2031;10-12 år;28468,21497
0 - Hela staden;Totalt;2031;13-15 år;29378,89086
0 - Hela staden;Totalt;2031;16-18 år;31338,50817
0 - Hela staden;Totalt;2031;19-24 år;71812,27085
0 - Hela staden;Totalt;2031;25-44 år;330784,3144
0 - Hela staden;Totalt;2031;45-64 år;255450,668
0 - Hela staden;Totalt;2031;65-79 år;135273,435
0 - Hela staden;Totalt;2031;80-w;59020,73572
0 - Hela staden;Totalt;2032;0 år;11758,86321
0 - Hela staden;Totalt;2032;1-5 år;49452,78133
0 - Hela staden;Totalt;2032;6-9 år;35380,99409
0 - Hela staden;Totalt;2032;10-12 år;27791,67227
0 - Hela staden;Totalt;2032;13-15 år;28697,77386
0 - Hela staden;Totalt;2032;16-18 år;31139,25718
0 - Hela staden;Totalt;2032;19-24 år;72089,27262
0 - Hela staden;Totalt;2032;25-44 år;331973,4837
0 - Hela staden;Totalt;2032;45-64 år;257502,3671
0 - Hela staden;Totalt;2032;65-79 år;137626,2144
0 - Hela staden;Totalt;2032;80-w;60772,05091
0 - Hela staden;Totalt;2033;0 år;12016,62023
0 - Hela staden;Totalt;2033;1-5 år;50144,81549
0 - Hela staden;Totalt;2033;6-9 år;35296,98703
0 - Hela staden;Totalt;2033;10-12 år;27183,70753
0 - Hela staden;Totalt;2033;13-15 år;28348,41692
0 - Hela staden;Totalt;2033;16-18 år;30505,12974
0 - Hela staden;Totalt;2033;19-24 år;72127,75796
0 - Hela staden;Totalt;2033;25-44 år;332788,3353
0 - Hela staden;Totalt;2033;45-64 år;260501,087
0 - Hela staden;Totalt;2033;65-79 år;139524,1596
0 - Hela staden;Totalt;2033;80-w;62531,71879
0 - Hela staden;Totalt;2034;0 år;12067,11739
0 - Hela staden;Totalt;2034;1-5 år;51046,93167
0 - Hela staden;Totalt;2034;6-9 år;35237,47039
0 - Hela staden;Totalt;2034;10-12 år;26290,14529
0 - Hela staden;Totalt;2034;13-15 år;28575,77732
0 - Hela staden;Totalt;2034;16-18 år;29985,08046
0 - Hela staden;Totalt;2034;19-24 år;71726,08025
0 - Hela staden;Totalt;2034;25-44 år;333463,1689
0 - Hela staden;Totalt;2034;45-64 år;264037,2786
0 - Hela staden;Totalt;2034;65-79 år;141182,9888
0 - Hela staden;Totalt;2034;80-w;64067,3176
10101 - Storkyrkan;befintlig bebyggelse;2024;0 år;23
10101 - Storkyrkan;befintlig bebyggelse;2024;1-5 år;81
10101 - Storkyrkan;befintlig bebyggelse;2024;6-9 år;64
10101 - Storkyrkan;befintlig bebyggelse;2024;10-12 år;71
10101 - Storkyrkan;befintlig bebyggelse;2024;13-15 år;83
10101 - Storkyrkan;befintlig bebyggelse;2024;16-18 år;94
10101 - Storkyrkan;befintlig bebyggelse;2024;19-24 år;207
10101 - Storkyrkan;befintlig bebyggelse;2024;25-44 år;717
10101 - Storkyrkan;befintlig bebyggelse;2024;45-64 år;950
10101 - Storkyrkan;befintlig bebyggelse;2024;65-79 år;583
10101 - Storkyrkan;befintlig bebyggelse;2024;80-w;205
10101 - Storkyrkan;befintlig bebyggelse;2025;0 år;19,5784864
10101 - Storkyrkan;befintlig bebyggelse;2025;1-5 år;86,0394696
10101 - Storkyrkan;befintlig bebyggelse;2025;6-9 år;67,60481002
10101 - Storkyrkan;befintlig bebyggelse;2025;10-12 år;62,53636751
10101 - Storkyrkan;befintlig bebyggelse;2025;13-15 år;81,13413935
10101 - Storkyrkan;befintlig bebyggelse;2025;16-18 år;92,32601113
10101 - Storkyrkan;befintlig bebyggelse;2025;19-24 år;192,9282294
10101 - Storkyrkan;befintlig bebyggelse;2025;25-44 år;733,4534235
10101 - Storkyrkan;befintlig bebyggelse;2025;45-64 år;930,038132
10101 - Storkyrkan;befintlig bebyggelse;2025;65-79 år;573,5517967
10101 - Storkyrkan;befintlig bebyggelse;2025;80-w;223,905509
10101 - Storkyrkan;befintlig bebyggelse;2026;0 år;21,06823704
10101 - Storkyrkan;befintlig bebyggelse;2026;1-5 år;92,62789245
10101 - Storkyrkan;befintlig bebyggelse;2026;6-9 år;67,26944742
10101 - Storkyrkan;befintlig bebyggelse;2026;10-12 år;47,71780595
10101 - Storkyrkan;befintlig bebyggelse;2026;13-15 år;81,79674223
10101 - Storkyrkan;befintlig bebyggelse;2026;16-18 år;90,30631513
10101 - Storkyrkan;befintlig bebyggelse;2026;19-24 år;185,6129181
10101 - Storkyrkan;befintlig bebyggelse;2026;25-44 år;738,910224
10101 - Storkyrkan;befintlig bebyggelse;2026;45-64 år;919,5517805
10101 - Storkyrkan;befintlig bebyggelse;2026;65-79 år;569,5891995
10101 - Storkyrkan;befintlig bebyggelse;2026;80-w;236,8989327
10101 - Storkyrkan;befintlig bebyggelse;2027;0 år;21,26021655
10101 - Storkyrkan;befintlig bebyggelse;2027;1-5 år;95,19882076
