Datum/Klockslag,Titel,Beskrivning
2022-06-01T15:05:32+02:00,Nya lokaler för daglig verksamhet invigda,Den 1 juni invigdes de nya lokalerna för daglig verksamhet på Nybovägen i Lomma. Nu finns det verksamhet för målgruppen både i Bjärred och Lomma.
2022-05-31T11:18:55+02:00,Rutsborgskolan prisas för utställning under Europadagen,Elever på Rutsborgskolan i Bjärred har tillsammans med Malmö Borgarskola utsetts till vinnare i tävlingen Europadagen 2022. Klasserna belönas för att ha uppmärksammat Europadagen genom att sprida kunskap om EU på ett engagerande sätt. De får nu 30 000 kronor vardera till klasskassan.
2022-05-30T17:44:42+02:00,Årets företagare prisades,"Måns Bynke Strandqvist, Langia IT Solutions AB, utnämndes måndagen den 30 maj till Årets Företagare i Lomma kommun. Även utmärkelserna Årets Servicepris och Årets Nyföretagare samt ett Mästarbrev delades ut till glada och stolta mottagare denna dag."
2022-05-30T08:00:00+02:00,Ungdomsbiljett ersätter skolbiljett,"Från och med hösten 2022 kommer skolbiljetten att ersättas av en ungdomsbiljett. Biljetten erbjuds alla ungdomar i åldern 16-19 år, skrivna i kommunen."
2022-05-23T14:20:48+02:00,Möjligheter till spontanidrott lyfts fram,"Lomma kommun vill lyfta fram spontanidrotten i den långsiktiga samhällsplaneringen. Därför har nu en ”spontanidrottsplan” med fokus på utemiljö tagits fram, ett dokument som ska stärka detta arbete."
2022-05-23T11:07:48+02:00,Samråd av förslag till detaljplan för del av Lomma 34:1 med flera,"Kommunstyrelsen har beslutat upprätta detaljplan för området där befintligt kommunhus är beläget och dess närområde. Detaljplanens syfte är att pröva lämpligheten för kommunhus, gymnasieskola och centrumverksamhet samt möjliggöra flytt av transformatorstation inom planområdet."
2022-05-20T17:31:39+02:00,Aktuellt från Lomma kommun,"I helgens utgåva av Aktuellt från Lomma kommun i Lokaltidningen kan du bland annat läsa om aktiviteter på Havsblick, invigning av amfiteatern, Lilla Lommafesten och nya gymnasieskolan."
2022-05-20T07:59:53+02:00,Senaste nytt från kommunstyrelsen den 18 maj 2022,Kommunstyrelsen hade sammanträde den 18 maj. Här kommer en sammanfattning av några av ärendena.  Protokoll från sammanträdet publiceras inom kort  .
2022-05-19T15:38:33+02:00,Lomma kommun anmäler en lex Sarah till Inspektionen för vård och omsorg,Lomma kommun anmäler en händelse inom särskilt boende enligt lex Sarah. Lex Sarah ar en del av det systematiska kvalitetsarbetet. Syftet med bestämmelserna är att verksamheten ska utvecklas och missförhållanden rättas till.
2022-05-16T11:34:26+02:00,Har du koll på Havsblick?,"På Havsblick i Lomma finns många olika verksamheter under samma tak. Till flera av dem är alla välkomna, ung som gammal, medan några verksamheter riktar sig till en särskild målgrupp. Här reder vi ut begreppen och längst ned på sidan hittar du även en film om verksamheterna på Havsblick."
2022-05-11T12:10:35+02:00,Detaljplan för gymnasieskola och kommunhus ställs ut,"En gymnasieskola och ett nytt kommunhus planeras byggas i det kvarter i centrala Lomma där kommunhuset finns idag. Förslag över detaljplan är nu godkänt att ställa ut för samråd, samråd förväntas genomföras under perioden 23 maj–19 juni. Då har du möjlighet att tycka till om planen."
2022-05-11T10:00:00+02:00,Lomma kommun satsar på förmånscyklar,Nu erbjuds fastanställda i Lomma kommun att hyra en förmånscykel mot avdrag på bruttolönen.
2022-05-10T16:00:00+02:00,Europadagen uppmärksammades med konstutställning,Europadagen den 9 maj uppmärksammades på flera skolor i kommunen. På Rutsborgskolan i Bjärred ordnades en konstutställning där eleverna i årskurs 9 hade skapat affischer med kreativa budskap om vad vi alla behöver nu och i framtiden.
2022-05-10T13:09:07+02:00,Programmen för gymnasieskolan i Lomma klara,"Nu är det klart vilka program som gymnasieskolan i Lomma ska ha när den startar till höstterminen 2026. Det blir de tre mest populära programmen – ekonomi, naturvetenskap och samhällsvetenskap."
2022-05-02T10:36:38+02:00,Ny    kommundirektör rekryterad,Rekryteringen av Lomma kommuns nya kommundirektör är klar.
2022-05-02T09:44:52+02:00,Plastkonfetti förbjuds utomhus,"Väntar studentfirande, bröllop eller andra festligheter i vår och sommar? Då kan det vara bra att veta att den 30 april 2022 är införs det ett förbud mot platskonfetti utomhus."
2022-04-28T13:36:08+02:00,Senaste nytt från kommunstyrelsen den 27 april 2022,Kommunstyrelsen hade sammanträde den 27 april. Här kommer en sammanfattning av några av ärendena.  Protokoll från sammanträdet publiceras inom kort  .
2022-04-26T12:47:48+02:00,Lomma kommun anmäler en lex Sarah till Inspektionen för vård och omsorg (IVO),"Lomma kommun anmäler en händelse inom särskilt boende enligt lex Sarah, med syfte att säkra kvaliteten. Allvarlig risk för missförhållande eller ett faktiskt missförhållande ska anmälas till IVO som granskar vårdgivarens utredning så att lämpliga åtgärder vidtagits."
2022-04-22T09:11:32+02:00,Daglig verksamhet utvecklas i Nybovillan,Under det senaste året har avdelningen för funktionsstöd arbetat på olika sätt med utvecklingen av sina verksamheter. Detta för att möta upp de behov som finns inom funktionsområdet.
2022-04-22T08:59:11+02:00,Beslutat i kommunfullmäktige den 21 april,Kommunfullmäktige beslutade under sitt möte den 21 april bland annat att godkänna både miljöbokslut och årsredovisning för 2021.
2022-04-22T08:00:00+02:00,Kungörelse: Ansökan om bygglov för vindkraftverk,Ansökan om bygglov för tre vindkraftverk på fastigheten Önnerup 3:27 har inkommit till byggenheten. Aktuell fastighet omfattas inte av detaljplan eller områdesbestämmelser.
2022-04-19T13:21:47+02:00,Seniorlots – en hjälp i kontakten med kommunen,Seniorlotsen är en service som vänder sig till er seniorer och era närstående i Lomma kommun. Syftet är att vägleda i frågor gällande vård- och omsorg genom att svara på frågor och vid behov lotsa vidare till rätt person eller instans.
2022-04-13T08:34:42+02:00,Delad glädje är dubbel glädje,"Nu har låna-prylar-appen Swinga öppnats för alla boende i Lomma kommun. Med appen kan man låna verktyg, fritidsprylar och mycket annat av varandra. Genom att swinga prylar fram och tillbaka får vi ett självklart alternativ till att köpa nytt – samtidigt som vi tillsammans är lite snällare mot miljön och plånboken."
2022-04-12T14:42:28+02:00,Börja nattvandra du med!,Att nattvandra innebär att man är med och skapar trygghet. Nattvandrare är vuxna som finns till hand för ungdomar på kvällarna. Nu behöver de bli fler.
2022-04-11T09:00:00+02:00,Kommunstyrelsens ordförande och oppositionsrådet har ordet,Nu kan du läsa och även kommentera inlägg direkt från kommunstyrelsens ordförande Robert Wenglén och oppositionsrådet Per Bengtsson på lomma.se.
2022-04-06T17:30:00+02:00,Startskott för planering av nya gymnasieskolan,Tisdagen den 5 april fokuserade barn- och utbildningsnämnden under en heldag på framtidsfrågor för barn och ungdomar i kommunen. På agendan: den kommande gymnasieskolan samt nämndsmål för kommande mandatperiod.
2022-04-06T16:03:04+02:00,BOET – vårt digitala verksamhetsstöd,"Det pågår ett omfattande utvecklingsarbete inom avdelningen för funktionsstöd. Som en del i detta arbete implementeras nu Boet, ett digitalt planeringsverktyg, på ett av våra serviceboende."
2022-03-31T10:06:44+02:00,En oas för elever med individanpassad undervisning,På Karstorp C går elever som haft svårt att komma till ro och utvecklas i den traditionella skolgången. Eleverna har nyligen utvärderat hur de upplever sin skolmiljö. Utvärderingen visar att eleverna i mycket hög grad trivs på Karstorp C.
2022-03-29T11:51:49+02:00,Utbildningsdag för att förbättra kosten för äldre,Under våren anordnas kunskaps- och inspirationsdagar för medarbetare och chefer på kommunens särskilda boendena med fokus på kost och måltidssituation.
2022-03-22T17:01:18+01:00,Översiktsplan 2020 är antagen,"Översiktsplan 2020 antogs av kommunfullmäktige den 3 mars 2022. Översiktsplanen är en långsiktig plan för kommunens utveckling,  och visar hur kommunen ser på mark- och vattenanvändning samt bebyggelsens utveckling."
2022-03-14T15:18:38+01:00,Grattis Pilängsskolan 9B till vinsten i Spänningssökarna!,"Spänningssökarna är en tävling för elever i årskurs 9, med syfte att öka kunskaper kring energi och miljö. Eleverna tävlar om att skapa innovativa lösningar på ett valt tema, som i år var ""Energi i kristid""."
2022-03-01T15:53:34+01:00,Frågor om skyddsrum,"Med tanke på situation i Ukraina, kommer det en del frågor om skyddsrum till kommunen."
2022-02-16T07:30:00+01:00,Vad gör ett personligt ombud?,Det finns olika sorters stöd för dig som lever med psykisk ohälsa. Ett stöd kan vara att ta hjälp av ett personligt ombud.
2022-02-10T10:33:41+01:00,Brukarundersökning klar inom boendestöd,Under hösten skickades en enkätundersökning ut till personer med boendestöd i kommunen. Resultaten är nu sammanställda och ger goda betyg till delaktighet och gott bemötande.
2022-02-08T12:55:22+01:00,Erosionsprojektet vid BOJK efter stormen,"Förra helgens storm Malik gick hårt åt våra stränder och flera platser längst kusten har utsatts för erosion. En av de platser där skillnaden före och efter stormen syns tydligt är området vid BOJK, som under de senaste åren ingått i ett erosionsprojekt."
2022-02-02T10:00:17+01:00,Två avdelningar kvar på Alnarps förskola,Barn- och utbildningsnämnden fattade tisdagen den 1 februari beslut om att avveckla en paviljong (två avdelningar) på Alnarps förskola. Förskolan har idag fyra avdelningar. Beslutet innebär att Alnarps förskola drivs vidare med två avdelningar från och med 1 augusti 2022.
2022-01-25T09:48:06+01:00,Resultat från medborgarundersökningen,"Varje år deltar Lomma kommun i Statistiska centralbyråns medborgarundersökning med syftet att undersöka hur våra kommuninvånare ser på kommunen.  Årets resultat (2021) visar bland annat att 98 % av kommunens invånare tycker att kommunen är en mycket eller ganska bra plats att bo och leva på. Äldreomsorgen, det lokala kultur- och nöjeslivet samt fler belysta motionsspår är några områden som kommuninvånare vill se förbättringar inom."
2022-01-24T10:00:00+01:00,Ny geografisk indelning för hemtjänsten i Lomma,Den 31 januari införs en ny geografisk indelning för hemtjänsten i Lomma att utgå från. Allt för att få en bättre och mer kvalitetssäkrad vård och omsorg.
2021-12-28T09:00:00+01:00,Så arbetar vi med belysning,Under årets mörka månader är belysningen i vårt samhälle extra viktig för både trygghetskänslan och trafiksäkerheten. För att säkerställa att lamporna fungerar som de ska görs varje höst en årlig besiktning av alla kommunens belysningspunkter. Trots det går lampor ibland sönder som vi åtgärdar löpande när behovet uppstår.
2021-12-23T10:12:27+01:00,Sociala jouren Syd – om du hamnar i akut läge,"Behöver du eller någon i din närhet akut hjälp och ärendet berör barn, våld i relationer eller missbruksproblematik, så kan Sociala jouren Syd ge råd och stöd till dess att kommunens socialkontor öppnar."
2021-12-16T15:55:24+01:00,Skolinspektionen ger åter Lomma kommun grönt ljus,Skolinspektionen har under 2021 genomfört en kvalitetsgranskning av Lomma kommun och ger grönt ljus på samtliga punkter. Senaste granskningen gjordes 2017 och även den gav grönt ljus på samtliga punkter.
2021-12-15T09:49:14+01:00,Fixaren ger praktisk och digital hjälp,Fixaren är en tjänst som startades för att förebygga fallolyckor i hemmet. Förutom att få hjälp med tunga lyft går det även att få hjälp med mobiler och surfplattor.
2021-12-14T08:00:00+01:00,Yrkessvenska på schemat,"Som ett led i det förbättringsarbete som pågår inom äldreomsorgen, har utbildningar i yrkessvenska erbjudits medarbetare som vill ha träning i svenska språket."
2021-12-10T11:46:33+01:00,Helhetsgrepp kring utvecklingen av Bjärehovsområdet,Det är många spännande projekt som pågår och som är på gång i den norra kommundelen. Bjärreds centrum är under uppbyggnad och detaljplanearbete för Bjärreds vångar fortgår. Planen framåt är även att lyfta Bjärehovsområdet.
2021-12-08T11:10:42+01:00,Kungörelse av beslut om bildande av naturreservat Kyrkfuret,"Kommunfullmäktige i Lomma kommun har den 2 december 2021 beslutat, med stöd av 7 kap. 4§ miljöbalken, att bilda det kommunala naturreservatet Kyrkfuret samt att meddela föreskrifter för naturreservatet."
2021-12-08T10:55:08+01:00,Kungörelse av beslut om bildande av naturreservat Augustenborg,"Kommunfullmäktige i Lomma kommun har den 2 december 2021 beslutat, med stöd av 7 kap. 4§ miljöbalken, att bilda det kommunala naturreservatet Augustenborg samt att meddela föreskrifter för naturreservatet."
2021-12-07T09:36:08+01:00,Åtgärder för ökad trygghet i kommunen,"Under våren 2021 fick elever i årskurs 7 och 8 markera ut platser i kommunen där de upplevde otrygghet. I en kartapp fick de ange var de upplever otrygghet, vilken tid på dygnet och varför samt komma med förslag till förbättringar. Nu har vi sammanställt svaren och påbörjat med åtgärder i Bjärred."
2021-12-03T16:13:12+01:00,Samarbete ska ge inspiration till ökad rörlighet,"I ett samarbete har LSS-verksamheten och samhällsbyggnadsförvaltningen tagit fram så kallade Walk and talk-tavlor, med exempel på kortare promenadsträckor. Dessa tavlor ska inspirera både medarbetare och besökare att röra sig mera."
2021-11-23T08:00:00+01:00,Nytt sätt att lämna synpunkter på vård och omsorg,"Har du eller någon du känner omsorg, hjälp eller stöd i din vardag från Lomma kommuns socialförvaltning? Nu kan du lämna dina synpunkter, både positiva och negativa via ett digitalt formulär."
2021-11-17T14:02:46+01:00,Lomma bästa skolkommun i Skåne,Lomma kommun hamnar på plats 12 av landets 290 kommuner i Lärarförbundets årliga mätning av bästa skolkommun. Det är en placering bättre jämfört med förra året.
2021-11-16T13:34:50+01:00,Förbättrade arbetsmetoder ska stärka utsatta barns rättigheter,Lomma kommun har tagit fram en tydligare arbetsmetod för att stärka barns rättigheter i samband med ärenden kring ekonomiskt bistånd. Metoderna ger oss en möjlighet att tidigare kunna förbättra utsatta barns socioekonomiska situation.
2021-11-01T09:00:00+01:00,Kulturplaketten 2021 till konstnären Per Siwmark,Årets mottagare av Lomma kommuns kulturplakett är kommuninvånaren och konstnären Per Siwmark. Ett stort grattis önskar kultur- och fritidsnämnden!
2021-10-29T11:20:14+02:00,Budget klubbad i kommunfullmäktige,Kommunfullmäktige hade sammanträde den 28 oktober. Då beslutades bland annat att godkänna en budget som kännetecknas av stora investeringsprojekt kommande år.
2021-10-29T10:03:02+02:00,Årets kulturstipendiater utsedda,Adam Lorentzi och Freja Pennsäter tilldelas Lomma kommuns kulturstipendium 2021. Pristagarna får dela på 30 000 kronor och kommer att uppmärksammas på Kulturskolans julkonsert i Lomma kyrka den 5 december.
2021-10-20T08:00:00+02:00,Annorlunda år för volontär,"Ett år går fort, trots pandemin, kunde Michela Zungri från Italien konstatera efter att ha deltagit i ett projekt för unga i Europa på fritidsgården Centralen."
2021-10-15T13:01:19+02:00,Vi bygger en ny gruppbostad,Under året har verksamheten för funktionsstöd vuxit och vi har många spännande projekt på gång. Inom enheterna för bostäder har vårens planering och aktiviteter nu resulterat i att Lomma kommun startat i gång ett arbete med att skapa en ny gruppbostad.
2021-10-14T11:03:36+02:00,Utbildningsminister Anna Ekström på besök för att prata skolfrågor,Torsdagen den 14 oktober välkomnades utbildningsminister Anna Ekström (S) till Lomma kommun. Här träffade hon oppositionsråd Per Bengtsson (S) och kommunstyrelsens ordförande Robert Wenglén (M) för att få insyn i kommunens skolpolitik.
2021-10-13T14:47:31+02:00,Upptäck Lomma kommun genom spännande ljudberättelser,Vad hände vid Lomma IP under fotbolls-VM 1958? Hur gick det till när tåget kom till Bjärred i början av 1900-talet? Nu finns åtta historiska berättelser från olika platser i Lomma kommun samlade i appen Storyspot.
2021-10-11T16:06:32+02:00,Nu finns elevernas konst på våra elskåp,I slutet av förra veckan sattes tolv konstverk upp på elskåp och lyktstolpar i närheten av Strandskolan i Lomma. Det är två grupper på Lomma Kulturskolas Skapande verkstad som ligger bakom konstverken.
2021-10-01T11:05:39+02:00,"Fem ""gröna slingor"" framtagna för promenader","Historiska byggnader, naturområden och våra samhällens historiska utveckling. Detta går det att lära sig mer om genom att promenera någon av de ""gröna slingor"" som vi tagit fram i samarbete med Friluftsfrämjandet i Bjerred-Lomma."
2021-09-30T15:23:41+02:00,Första spadtaget på Linnéaskolan,"En grundsärskola med hög kvalité och stor lyhördhet för elevernas individuella behov blir verklighet i Lomma. Idag tog vi de första spadtagen för den nya Linnéaskolan, som blir kommunens första grundsärskola. Här ska elever i årskurs 1–9 lära och utvecklas i en meningsfull kontext från och med hösten 2022."
2021-09-29T15:21:14+02:00,Företagslotsen – en hjälp för dig som är företagare,"Är du företagare eller funderar du på att starta företag? Då är vår tjänst Företagslots något för dig, den ger dig en snabb väg in i kommunen."
2021-09-21T08:00:00+02:00,Nytt serviceboende i Lomma,"På Strandvägen i Lomma finns nu ett nytt serviceboende, som öppnar för inflyttning under hösten."
2021-09-09T11:13:28+02:00,Hjälpen till unga med drog- eller alkoholproblem utvecklas,"Ungdomar som har problem med alkohol och droger kan nu få information, rådgivning och behandling i Lomma. På torsdagar, kl. 13-16, finns sedan september personal från Mariamottagningen i Lund på plats hos öppenvården i Lomma."
2021-08-26T18:00:00+02:00,Klartecken för gymnasieskola i Lomma kommun,Kommunstyrelsen ger klartecken för etablering av en gymnasieskola i Lomma kommun och rekommenderar kommunfullmäktige att fatta beslut på nästa sammanträde den 16 september.
2021-08-26T15:59:02+02:00,Årets företagare hyllades,"Anders Tegenrot, VD på Hälsomedicinskt Center, blev under torsdagen den 26 augusti prisad som Årets Företagare i Lomma kommun. Även utmärkelserna Årets Unga företagare, Årets Hållbarhetspris, Årets Servicepris och Årets Nyföretagare samt ett gesällbrev delades ut till stolta mottagare denna dag."
2021-08-24T08:30:00+02:00,Råd och stöd för unga via chatt,På  skane.se/bupchatt   kan ungdomar chatta anonymt med personal från barn- och ungdomspsykiatrin för att få råd och stöd vid i frågor som rör psykisk hälsa.
2021-08-23T11:56:03+02:00,Skolskeppet + Centralen = nytt samarbete,"Ett samarbete mellan fritidsgården Centralen och avdelningen för funktionsstöd, Skolskeppet, ska ge ungdomar med funktionsvariation större aktivitetsutbud under kvällstid."
2021-08-20T08:12:41+02:00,Så tycker ni om framtidens bibliotek,"Sköna läsfåtöljer, café och avskilda studieplatser – det är några av önskemålen för framtidens bibliotek. Detta enligt resultaten från vårens enkätundersökning. Nu ser biblioteken över hur inredningen kan omdisponeras i sina lokaler för att ännu bättre motsvara besökarnas önskemål. Tack alla som var med och svarade!"
2021-07-26T08:00:00+02:00,Frågor om EU? Europa Direkt svarar!,"Europa Direkt Lund hjälper dig som har frågor om EU:s politik och prioriteringar, fonder och program, eller rent allmänt har frågor om hur EU fungerar."
2021-07-14T14:58:12+02:00,Ärende avslutat efter IVOs granskning,Inspektionen för vård och omsorg (IVO) är nu klara med granskningen av Lomma kommuns agerande i samband med att det under våren 2020 uppdagades att flera vårdtagare i kommunen fått beslut om behandlingsbegränsningar utfärdat av en privat vårdcentral. IVO påtalar vissa brister men avslutar ärendet utan vidare åtgärder. Region Skåne har sedan tidigare granskat berörd vårdcentral vilket visade allvarliga brister i beslut om behandlingsbegränsningar.
2021-07-12T13:24:18+02:00,Stöd till adopterade som söker sitt ursprung,"Är du vuxen, adopterad och söker ditt ursprung och har frågor kring detta? Då kan du kontakta familjerätten i Lomma kommun för rådgivning och de kan hänvisa dig vidare till rätt instans."
2021-07-02T11:38:23+02:00,"Klart med ny förvaltningschef för utbildning, kost, kultur och fritid","Roberto Citterio blir ny förvaltningschef för förvaltningen för utbildning, kost, kultur och fritid. Han kommer närmast från Malmö stad och börjar jobba i Lomma den 1 oktober."
2021-06-30T11:16:09+02:00,Nya regler kring yrkesmässig hygienisk verksamhet,"Från och med den 1 juli 2021 gäller nya regler om anmälningsplikt för yrkesmässig hygienisk verksamhet. Det innebär att verksamheter där allmänheten yrkesmässigt erbjuds hygieniska behandlingar som innebär risk för blodsmitta eller annan smitta på grund av användningen av skalpeller, akupunkturnålar, piercningsverktyg eller andra liknande skärande eller stickande verktyg blir anmälningspliktiga."
2021-06-29T09:00:00+02:00,VA SYD inleder samråd om en regional avloppsvattenrening,"VA SYD inleder nu samråd om hur ny infrastruktur kan ta hand om, rena vårt avloppsvatten för lång framtid. Från den 25 augusti får berörda och allmänhet lämna synpunkter."
2021-06-28T15:30:00+02:00,Ändring av avfallstaxan i Lomma kommun,"Från den 1 juli kommer en ny avfallstaxa att gälla i Lomma kommun. Alla betalar en avgift för sin avfallshantering. Tack vare låga avfallsmängder och att boende i Lomma kommun sorterar sina sopor väl, så kommer sopabonnemanget för två kärl med fyra fack att sänkas med 125 kr per år."
2021-06-28T14:36:43+02:00,Parkeringsstrategi och parkeringsnorm antagen,För några veckor sedan presenterade vi att en ny parkeringsstrategi och ny parkeringsnorm för cykel och bil har tagits fram för Lomma kommun. Nu kan vi glädjande berätta att Kommunfullmäktige har tagit beslut om att anta strategin.
2021-06-21T15:17:53+02:00,Bryggor i Höje å kommer att tas bort,De generella strandskyddsreglerna infördes 1975 och har under årens lopp utvecklats och förändrats. Det medför att vissa bryggor i Höje å måste plockas bort då de strider mot strandskyddsbestämmelserna och får därför inte vara kvar.
2021-06-17T17:26:30+02:00,Favorit i repris – Lomma kommun är bäst att leva i 2021!,Lomma gör det igen – enligt nyhetsmagasinet Fokus är Lomma kommun bäst kommun att leva i 2021!
2021-06-17T15:35:44+02:00,Kartportal för digitala kartor,Lomma kommun har en ny kartportal för digitala kartor! Portalen är en samlingssida för kommunens digitala kartor som ska underlätta för dig som användare att hitta den karta och information du söker efter.
2021-06-16T16:29:14+02:00,Fimp- och rökfria stränder,"Att utsätta personer i sin omgivning för rök från cigaretter och dess skadliga inverkan kallas för passiv rökning. Det kan medföra bland annat besvär i näsa, ögon, hals och luftvägar, särskilt hos personer med astma, allergi och överkänslighet. På stränder utsätts många för passiv rökning och cigarettfimpar är det vanligaste skräpet på våra stränder."
2021-06-15T16:59:04+02:00,Säkerhet kring pooler,Sommaren är här och badsäsongen har inletts. Antalet fastigheter som har pool i Lomma kommun har ökat och vi får en del frågor om säkerhet kring pooler. Det är viktigt att tänka på säkerheten runt poolen för att förhindra att olyckor sker.
2021-06-09T11:46:50+02:00,Lomma kommun toppar ranking om klimatanpassning,Lomma är den kommun i landet som kommit längst i sitt arbete med klimatanpassning. Detta enligt en nationell enkätundersökning som görs varje år.
2021-06-01T10:00:00+02:00,Bulleråtgärder längs med Lommabanan – vad händer just nu?,Det är många som hör av sig till kommunen med frågor om bulleråtgärder längs med Lommabanan. Just nu utför Trafikverket en omfattande inventering av vilka specifika bullerdämpande åtgärder som krävs.
2021-05-28T11:21:14+02:00,Förstudie om övergång vid Lödde å klar,Förstudien om en förbindelse över Lödde å är klar. I studien pekas området vid Borgeby reningsverk ut som en tänkbar plats för övergången.  Här kan du ta del av hela förstudien  .
2021-05-25T11:28:45+02:00,Förbindelse över Lödde å ska utredas vidare,Förstudien om en förbindelse över Lödde å är klar. Kommunstyrelsen ger nu samhällsbyggnadsförvaltningen i uppdrag att fördjupa utredningen och arbetet går nu in i en mer konkret planeringsfas.
2021-05-12T05:37:52+02:00,Sök ekonomiskt bistånd enkelt via e-tjänst,"Nu kan du som bor i Lomma kommun söka ekonomiskt bistånd direkt från dator, surfplatta eller smartphone på lomma.se/ekonomisktbistand  Det finns många fördelar med att ansöka digitalt, du kan till exempel göra ansökan när som helst på dygnet. Dessutom kommer utredningsprocessen att ske snabbare och du kan följa ditt ärende via ""Mina Sidor"". Det är också positivt utifrån en miljöaspekt då pappershandlingar inte längre behöver hanteras."
2021-04-23T07:53:09+02:00,Ny bibliotekschef vill fortsätta utveckla populär verksamhet,Lomma kommuns nya bibliotekschef heter Susann Ek. Hon kommer närmast från ett jobb som bibliotekschef i Landskrona stad där hon jobbat sedan augusti 2012.
2021-04-20T09:51:55+02:00,Sammanhållen journalföring genom NPÖ,Den 13 april började Lomma kommun tillgängliggöra information i Nationell patientöversikt (NPÖ) och tillämpar därmed det som kallas sammanhållen journalföring.
2021-04-02T10:00:00+02:00,Aktuellt från Lomma kommun – april,"Läs om kompetenssatsning inom vården, enkät om bibliotekens verksamhet, trygghetssatsningar, ombyggnationer och mycket annat i helgens utgåva av Aktuellt från Lomma kommun i Lokaltidningen."
2021-03-15T09:28:43+01:00,Vård- och omsorgscollege Skåne,"Lomma kommun är nu en av medlemmarna i VO-College Skåne, i syfte att öka samverkan i personal- och kompetensförsörjningsfrågor."
2021-03-08T13:42:16+01:00,Säkrare vård med sammanhållen journalföring,För att kunna ge dig god och säker vård behöver vårdpersonalen tillgång till information om dig som patient. Lomma kommun kommer därför att tillämpa sammanhållen journalföring och gör därmed vissa journaluppgifter tillgängliga för andra vårdgivare.
2021-02-19T08:00:00+01:00,Nya lokaler och metoder för öppenvården,"Sedan hösten 2020 utgår behandlingsteamet och mobila teamet från nya lokaler i Lomma Hamn. Här kan både vuxna, barn och familjer få hjälp och stöd när det gäller relationer, beteendeproblematik, missbruk eller psykisk ohälsa."
2021-01-28T09:45:01+01:00,Ett innovativt tillsynsarbete,Vi på Miljöenheten i Lomma kommun arbetar ständigt med att förbättra och utveckla vårt tillsynsarbete. Under 2021 påbörjar vi en resa mot en mer innovativ myndighetsutövning.
2021-01-25T12:09:03+01:00,"Om du utsätts för hot, våld eller hedersförtryck",I coronatider ökar tyvärr risken för att bli utsatt för våld eller förtryck i nära relationer.
2021-01-20T17:12:31+01:00,Socialförvaltningen anmäler enligt lex Maria,Socialförvaltningen har anmält två händelser som inträffat under hösten till Inspektionen för vård och omsorg enligt lex Maria.
2021-01-18T13:00:00+01:00,Ny skejtramp på plats i Lomma,Skejtrampen på fritidsgården Centralen har byggts om. Den nya är bättre anpassad även för nybörjare men innehåller fortfarande avancerade partier.
2021-01-15T11:31:59+01:00,Lomma uppfattas som bästa kommunen i landet att leva och bo i!,"Stort tack till dig som deltog i Lomma kommuns medborgarundersökning, som hålls samman av Statistiska centralbyrån. Undersökningen visar att Lomma kommun hamnar i topp i landet inom flera områden."
2020-12-22T08:17:48+01:00,Ny energi- och klimatplan,Lomma kommun har antagit en ny energi- och klimatplan för perioden 2021-2025.
2020-12-18T17:54:50+01:00,Uppdatering kring vårdcentrals beslut om behandlingsbegränsningar,"Med anledning av de beslut som tagits av läkare på vårdcentral i Bjärred, om behandlingsbegränsningar inom vården, kräver Lomma kommun att alla felaktiga beslut ska ha korrigerats senast måndagen den 21 december. Socialförvaltningen har även beställt en extern granskning med uppdrag att titta på kommunens hantering av frågan."
2020-12-13T16:48:24+01:00,Information kring uppgifter i media om behandlingsbegränsningar,Den 13 december publicerades en artikel i Sydsvenskan om beslut om behandlingsbegränsningar inom vården. Då detta är en viktig fråga vill kommunen informera om den händelse som beskrivs. Det är viktigt att invånarna i kommunen känner sig trygga med den kommunala hälso- och sjukvården och att alla förstår vem som ansvarar för vad.
2020-11-27T18:29:49+01:00,Ny skolorganisation för Alléskolan och Pilängskolan,Från och med höstterminen 2021 kommer Alléskolan och Pilängskolan att bilda en  gemensam skolenhet. Den nya organisationen kommer att erbjuda större grad av  flexibilitet – med barnen i centrum.
2020-11-26T13:35:46+01:00,Lomma kommuns första cykelöverfart är klar,I dagarna blev Lommas första cykelöverfart klar. Den kopplar samman cykelbanan från flera delar av Lomma och skapar en säker överfart för cyklister vid Sjögräsgatan till och från Strandskolan.
2020-06-24T10:49:15+02:00,Boksläpp på Karstorpskolan,"Ett samarbete mellan fritidshemmen på Karstorpskolan Norra i Lomma och Malmö universitet har nu resulterat i ett släpp av antologin ""Learning study – att göra skillnad""."
2020-06-22T21:39:42+02:00,Ta med körkortet till återvinningscentralen,I december 2019 infördes passersystem på SYSAVs återvinningscentraler. Kom därför ihåg att ta med dig körkortet om du behöver åka dit.
2020-06-15T10:19:39+02:00,Lomma kommun tilldelas Guldtrappan,"Guldtrappan är en kvalitetsutmärkelse när det gäller skolutveckling i en digital tid. Lomma kommuns förskoleverksamhet har nu tilldelats Guldtrappan 2020, tillsammans med åtta andra pristagare."
2020-06-12T11:33:45+02:00,Lomma kommun – bäst att leva i 2020!,Enligt nyhetsmagasinet Fokus är Lomma kommun bäst kommun att leva i 2020!
2020-04-06T14:34:46+02:00,Klimatsmart stadsplanering,"Örebro, Umeå och Botkyrka har valts ut som föregångare när det gäller att jobba med stadsplanering som minskar påverkan på klimatet. Nu ska de genom projektet Multiply dela sina erfarenheter med andra kommuner, varav Lomma är en av dem."
