"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Stockholm (Sydvästra Skarpnäcks gård-Orhem)","totalt","totalt",1936
"Stockholm (Sätra)","totalt","totalt",7618
"Stockholm (Södra Adolf Fredrik)","totalt","totalt",4441
"Stockholm (Södra Hammarbyhamnen)","totalt","totalt",20668
"Stockholm (Södra Högalid)","totalt","totalt",4299
"Stockholm (Södra Johannes)","totalt","totalt",2140
"Stockholm (Södra Sofia)","totalt","totalt",11716
"Stockholm (Södra Station)","totalt","totalt",4645
"Stockholm (Södra Ängby)","totalt","totalt",1686
"Stockholm (Tallkrogen)","totalt","totalt",4819
"Stockholm (Tekniska Högskolan)","totalt","totalt",5965
"Stockholm (Tensta)","totalt","totalt",18682
"Stockholm (Traneberg)","totalt","totalt",7668
"Stockholm (Ulvsunda)","totalt","totalt",2759
"Stockholm (Ulvsunda Industriområde)","totalt","totalt",2765
"Stockholm (Universitetet)","totalt","totalt",4764
"Stockholm (Vinsta)","totalt","totalt",4634
"Stockholm (Vårberg)","totalt","totalt",9977
"Stockholm (Vällingby)","totalt","totalt",8753
"Stockholm (Västberga)","totalt","totalt",7000
"Stockholm (Västertorp)","totalt","totalt",7521
"Stockholm (Västra Farsta Strand-Farstanäset)","totalt","totalt",1892
"Stockholm (Västra Katarina)","totalt","totalt",14454
"Stockholm (Västra Matteus)","totalt","totalt",19089
"Stockholm (Åkeslund)","totalt","totalt",3559
"Stockholm (Ålsten)","totalt","totalt",3277
"Stockholm (Årsta)","totalt","totalt",20480
"Stockholm (Älvsjö)","totalt","totalt",1781
"Stockholm (Äppelviken)","totalt","totalt",2007
"Stockholm (Örby)","totalt","totalt",5576
"Stockholm (Örby Slott)","totalt","totalt",2035
"Stockholm (Östberga)","totalt","totalt",5898
"Stockholm (Östra Farsta Strand)","totalt","totalt",3668
"Stockholm (Östra Katarina)","totalt","totalt",20767
"Stockholm (Östra Matteus)","totalt","totalt",13561
"Stockholm (Östra Sankt Göran)","totalt","totalt",16612
"Stockholm (Östra Skarpnäcks gård-Flaten-Skrubba)","totalt","totalt",1956
"Södertälje (Blombacka)","totalt","totalt",3018
"Södertälje (Brunnsäng)","totalt","totalt",3622
"Södertälje (Bårsta östra)","totalt","totalt",3126
"Södertälje (Enhörna-Ekeby)","totalt","totalt",1165
"Södertälje (Enhörna-Sandviken)","totalt","totalt",1619
"Södertälje (Fornhöjden)","totalt","totalt",4289
"Södertälje (Geneta norra-Bårsta västra)","totalt","totalt",4193
"Södertälje (Geneta södra-Vasa)","totalt","totalt",1557
"Södertälje (Glasberga)","totalt","totalt",3226
"Södertälje (Grusåsen norra-Bergvik)","totalt","totalt",4010
"Södertälje (Grusåsen-Weda-Listonhill)","totalt","totalt",1672
"Södertälje (Hovsjö)","totalt","totalt",5447
"Södertälje (Hölö tätort)","totalt","totalt",1788
"Södertälje (Järna centrum-Järna södra)","totalt","totalt",3817
"Södertälje (Järna norra-Kallfors)","totalt","totalt",4527
"Södertälje (Lina-Vattubrinken-Dammkärr)","totalt","totalt",4045
"Södertälje (Mariekälla)","totalt","totalt",3394
"Södertälje (Mölnbo tätort)","totalt","totalt",1206
"Södertälje (Pershagen)","totalt","totalt",2258
"Södertälje (Ragnhildsborg-Ritorp-Viksberg)","totalt","totalt",5013
"Södertälje (Ronna centrum-Ronna Park-Västra Ronna)","totalt","totalt",6635
"Södertälje (Ronna-Karlhov)","totalt","totalt",2280
"Södertälje (Rosenlund-Hagaberg)","totalt","totalt",5088
"Södertälje (Saltskog)","totalt","totalt",3725
"Södertälje (Södertälje-Järna omland)","totalt","totalt",2608
"Södertälje (Telge-Snäckviken-Torekälla)","totalt","totalt",7234
"Södertälje (Värdsholmen-Södra)","totalt","totalt",1914
"Södertälje (Västergård)","totalt","totalt",4693
