Skolenhetskod,Kommunkod,PeOrgNr,Skolenhetsnamn,Status
37995642,1285,2120001173,Norrevångsskolan 7-9,Aktiv
94353434,1480,2120001355,Bräckegymnasiet 2,Aktiv
90099336,1480,2120001355,Katrinelundsgymnasiet 2,Aktiv
88894245,1461,2120001488,Dahlstiernska gymnasiet,Aktiv
49291677,1461,2120001488,Åsebro skola,Aktiv
37842901,1461,2120001488,Åsen skola,Aktiv
71008107,0163,2120000134,Kunskapsparken SFI,Aktiv
34275303,0163,2120000134,Kunskapsparken Vuxenutbildning,Aktiv
33950737,1784,2120001892,Resursskolan Smedjan,Vilande
72266906,0484,2120000357,Rekarnegymnasiet 1,Aktiv
63826797,1281,5564624368,Internationella Engelska Skolan Lund,Aktiv
51207895,0561,2120000415,Centralskolan,Aktiv
97945295,1380,2120001215,BUP,Vilande
32508573,1380,2120001215,Sjukhusskolan,Vilande
39789569,0180,2120000142,"ESS-gymnasiet 2, grund",Vilande
78381627,0180,2120000142,Farsta gymnasium 78381627,Vilande
91875464,1781,2120001868,Specialenheten,Vilande
43865681,0881,2120000753,Transtorpskolan,Vilande
65802510,2580,8970002898,Stiftelsen Sunderby folkhögskola SFI,Vilande
19708655,0180,5567322168,VB Gymnasiet,Vilande
84720424,1489,2120001553,Alströmergymnasiet gymnasiesärskola,Vilande
25609455,0563,2120000431,"Lärcenter, särvux",Vilande
42947783,1291,2120000969,Hammenhög skola,Vilande
84410947,1291,2120000969,Resursskola Gladsax,Vilande
27696732,1291,2120000969,Skillinge skola,Vilande
11798268,2523,5567260806,Europeiska Energigymnasiet,Vilande
24970445,0181,8156003926,Mora Parks förskola och skola,Vilande
86858344,0182,5565570958,Primaskolan Nacka,Vilande
23621273,0180,5565570958,Primaskolan Vällingby,Vilande
82570039,1485,5566470398,Bohusläns Helhetsskola,Vilande
36423724,1864,2120001959,Komvux,Vilande
32359461,0184,5564781606,Framtidsgymnasiet i Solna,Vilande
95958999,0360,5567550461,Hagströmska gymnasiet Tierp,Vilande
89334963,1280,8020136951,S:ta Maria Folkhögskola SFI,Vilande
27859742,0883,2120000779,Västerviks gymnasium RO2 S,Vilande
46509393,0883,2120000779,Västerviks gymnasium RO4 S,Vilande
57145978,2082,2120002247,Kristineskolan,Vilande
60386703,0162,5566139290,Thoren Framtid Danderyd,Vilande
79974060,1480,5566139290,Thoren Framtid Göteborg,Vilande
50790726,0126,5566139290,Thoren Framtid Huddinge,Vilande
45111086,1980,5567802144,Västerås Idrottsgymnasium,Aktiv
71387206,1440,7696142343,Ahlafors Fria skola,Aktiv
34165541,0127,8020170026,Stockholms Folkhögskola,Vilande
57571992,0580,2120000449,Anders Ljungstedts gymnasium 2,Vilande
37899769,0580,2120000449,Anders Ljungstedts gymnasium vux,Vilande
94597566,0580,2120000449,Anders Ljungstedts gymnasium 5,Vilande
94678448,0580,2120000449,Berzeliusskolan vux,Vilande
51892202,2480,2120002627,VIVA Komvux SO,Vilande
