Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
67723630;Kunskapsskolan Enköping;Kunskapsskolan i Sverige Aktiebolag
16426165;Kunskapsskolan Enskede;Kunskapsskolan i Sverige Aktiebolag
78482688;Movant;HUDDINGE KOMMUN
63954028;Kunskapsskolan Fruängen;Kunskapsskolan i Sverige Aktiebolag
85459854;Oscarsgymnasiet A;OSKARSHAMNS KOMMUN
21423670;Kunskapsskolan Gävle;Kunskapsskolan i Sverige Aktiebolag
81876614;Oscarsgymnasiet B;OSKARSHAMNS KOMMUN
44963095;Oscarsgymnasiet C;OSKARSHAMNS KOMMUN
18711877;Oscarsgymnasiet D;OSKARSHAMNS KOMMUN
77631345;Astar Solna;HUDDINGE KOMMUN
48798589;Kunskapsskolan Helsingborg;Kunskapsskolan i Sverige Aktiebolag
19619412;SFI;OSKARSHAMNS KOMMUN
86562542;Kunskapsskolan Jönköping;Kunskapsskolan i Sverige Aktiebolag
16603772;Kunskapsskolan Katrineholm;Kunskapsskolan i Sverige Aktiebolag
83045482;Kunskapsskolan Krokslätt;Kunskapsskolan i Sverige Aktiebolag
60956248;Kunskapsskolan Landskrona;Kunskapsskolan i Sverige Aktiebolag
93337320;Kunskapsskolan Motala;Kunskapsskolan i Sverige Aktiebolag
87425546;Kunskapsskolan Nacka;Kunskapsskolan i Sverige Aktiebolag
77437748;Kunskapsskolan Norrköping;Kunskapsskolan i Sverige Aktiebolag
88046003;Kunskapsskolan Nyköping;Kunskapsskolan i Sverige Aktiebolag
80531441;Central Insamlingsenhet;NYKÖPINGS KOMMUN
11496096;Kunskapsskolan Saltsjöbaden;Kunskapsskolan i Sverige Aktiebolag
46796995;Kunskapsskolan Spånga;Kunskapsskolan i Sverige Aktiebolag
65892623;Kunskapsskolan Trelleborg;Kunskapsskolan i Sverige Aktiebolag
81266343;Kunskapsskolan Tyresö;Kunskapsskolan i Sverige Aktiebolag
25309669;Kunskapsskolan Täby;Kunskapsskolan i Sverige Aktiebolag
68094768;Tystberga skola;NYKÖPINGS KOMMUN
73947432;Kunskapsskolan Uppsala;Kunskapsskolan i Sverige Aktiebolag
84411355;Kunskapsskolan Tumba;Kunskapsskolan i Sverige Aktiebolag
73806643;Kunskapsskolan Uppsala Norra;Kunskapsskolan i Sverige Aktiebolag
30576881;Kunskapsskolan Västerås;Kunskapsskolan i Sverige Aktiebolag
58980145;Kunskapsskolan Ystad;Kunskapsskolan i Sverige Aktiebolag
76018506;Kunskapsskolan Örebro;Kunskapsskolan i Sverige Aktiebolag
67505597;Kunskapsskolan Linköping;Kunskapsskolan i Sverige Aktiebolag
49594616;Kunskapsskolan Gröndal;Kunskapsskolan i Sverige Aktiebolag
81922425;Kunskapsskolan Haninge;Kunskapsskolan i Sverige Aktiebolag
12182695;Kunskapsskolan Helsingborg Rydebäck F-6;Kunskapsskolan i Sverige Aktiebolag
46218594;Kunskapsskolan Helsingborg åk 4-6;Kunskapsskolan i Sverige Aktiebolag
65781553;Kunskapsskolan Huddinge;Kunskapsskolan i Sverige Aktiebolag
10888432;Kunskapsskolan Malmö;Kunskapsskolan i Sverige Aktiebolag
38022552;Kunskapsskolan Nacka Nord;Kunskapsskolan i Sverige Aktiebolag
93752024;Kunskapsskolan Sollentuna;Kunskapsskolan i Sverige Aktiebolag
10052155;Kunskapsskolan Väst;Kunskapsskolan i Sverige Aktiebolag
